date,country,epidemiological_week,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-09-08,Brazil,202037,4168665,127584,18661,514
2020-09-09,Brazil,202037,4205827,128752,37162,1168
2020-09-10,Brazil,202037,4246538,129726,40711,974
2020-09-11,Brazil,202037,4288171,130574,41633,848
2020-09-12,Brazil,202037,4318971,131341,30800,767
2020-09-13,Brazil,202038,4332991,131746,14020,405
2020-09-14,Brazil,202038,4353602,132204,20611,458
2020-09-15,Brazil,202038,4388154,133286,34552,1082
2020-09-16,Brazil,202038,4425451,134248,37297,962
2020-09-17,Brazil,202038,4461856,135117,36405,869
2020-09-18,Brazil,202038,4501587,135945,39731,828
2020-09-19,Brazil,202038,4531145,136626,29558,681
2020-09-20,Brazil,202039,4546587,136977,15442,351
2020-09-21,Brazil,202039,4564222,137443,17635,466
2020-09-22,Brazil,202039,4599189,138237,34967,794
2020-09-23,Brazil,202039,4631915,139169,32726,932
2020-09-24,Brazil,202039,4663929,139964,32014,795
2020-09-25,Brazil,202039,4696240,140786,32311,822
2020-09-26,Brazil,202039,4720957,141508,24717,722
2020-09-27,Brazil,202040,4734735,141845,13778,337
2020-09-28,Brazil,202040,4751616,142238,16881,393
2020-09-29,Brazil,202040,4784464,143096,32848,858
2020-09-30,Brazil,202040,4817365,143964,32901,868
2020-10-01,Brazil,202040,4853120,144851,35755,887
2020-10-02,Brazil,202040,4885966,145504,32846,653
2020-10-03,Brazil,202040,4908974,146093,23008,589
2020-10-04,Brazil,202041,4917689,146451,8715,358
2020-10-05,Brazil,202041,4943742,146844,26053,393
2020-10-06,Brazil,202041,4975268,147654,31526,810
2020-10-07,Brazil,202041,5006206,148379,30938,725
2020-10-08,Brazil,202041,5033036,149114,26830,735
2020-10-09,Brazil,202041,5060769,149768,27733,654
2020-10-10,Brazil,202041,5084513,150302,23744,534
2020-10-11,Brazil,202042,5096704,150580,12191,278
2020-10-12,Brazil,202042,5105340,150774,8636,194
2020-10-13,Brazil,202042,5118696,151152,13356,378
2020-10-14,Brazil,202042,5146543,151884,27847,732
2020-10-15,Brazil,202042,5176969,152698,30426,814
2020-10-16,Brazil,202042,5205565,153341,28596,643
2020-10-17,Brazil,202042,5226341,153756,20776,415
2020-10-18,Brazil,202043,5238392,153991,12051,235
2020-10-19,Brazil,202043,5254971,154317,16579,326
2020-10-20,Brazil,202043,5278737,154965,23766,648
2020-10-21,Brazil,202043,5304580,155535,25843,570
2020-10-22,Brazil,202043,5329357,156041,24777,506
2020-10-23,Brazil,202043,5359358,156604,30001,563
2020-10-24,Brazil,202043,5384340,156991,24982,387
2020-10-25,Brazil,202044,5396037,157192,11697,201
2020-10-26,Brazil,202044,5415207,157526,19170,334
2020-10-27,Brazil,202044,5445189,158052,29982,526
2020-10-28,Brazil,202044,5473540,158556,28351,504
2020-10-29,Brazil,202044,5500240,159107,26700,551
2020-10-30,Brazil,202044,5524593,159680,24353,573
2020-10-31,Brazil,202044,5537763,159972,13170,292
